Method of Travel,19-Jan,Jan % change 2019-2020,Jan~Jan 2019, Jan~Jan 2020, Jan~Jan % change 2020,19-Feb,Feb % change 2019-2020,Jan~Feb 2019, Jan~Feb 2020, Jan~Feb % change 2020,19-Mar,Mar % change 2019-2020,Jan~Mar 2019, Jan~Mar 2020, Jan~Mar % change 2020,19-Apr,Apr % change 2019-2020,Jan~Apr 2019, Jan~Apr 2020, Jan~Apr % change 2020,19-May,May % change 2019-2020,Jan~May 2019, Jan~May 2020, Jan~May % change 2020,19-Jun,Jun % change 2019-2020,Jan~Jun 2019, Jan~Jun 2020, Jan~Jun % change 2020,19-Jul,Jul % change 2019-2020,Jan~Jul 2019, Jan~Jul 2020, Jan~Jul % change 2020,19-Aug,Aug % change 2019-2020,Jan~Aug 2019, Jan~Aug 2020, Jan~Aug % change 2020,19-Sep,Sept % change 2019-2020,Jan~Sept 2019, Jan~Sept 2020, Jan~Sept % change 2020,19-Oct,Oct % change 2019-2020,Jan~Oct 2019, Jan~Oct 2020, Jan~Oct % change 2020,19-Nov,Nov % change 2019-2020,Jan~Nov 2019, Jan~Nov 2020, Jan~Nov % change 2020,19-Dec,Dec % change 2019-2020,Jan~Dec 2019, Jan~Dec 2020, Jan~Dec % change 2020,Jan-20,Jan-21,Jan % change,Jan~Jan 2020, Jan~Jan 2021, Jan~Jan % change,20-Feb,21-Feb,Feb % change 2020-2021,Jan~Feb 2020, Jan~Feb 2021, Jan~Feb % change 2021,20-Mar,21-Mar,Mar % change 2020-2021,Jan~Mar 2020, Jan~Mar 2021, Jan~Mar % change 2021,20-Apr,21-Apr,Apr % change 2020-2021,Jan~Apr 2020, Jan~Apr 2021, Jan~Apr % change 2021,20-May,21-May,May % change 2020-2021,Jan~May 2020, Jan~May 2021, Jan~May % change 2021,20-Jun,21-Jun,Jun % change 2020-2021,Jan~Jun 2020, Jan~Jun 2021, Jan~Jun % change 2021,20-Jul,21-Jul,Jul % change 2020-2021,Jan~Jul 2020, Jan~Jul 2021, Jan~Jul % change 2021,20-Aug,21-Aug,Aug % change 2020-2021,Jan~Aug 2020, Jan~Aug 2021, Jan~Aug % change 2021,20-Sep,21-Sep,Sept % change 2020-2021,Jan~Sept 2020, Jan~Sept 2021, Jan~Sept % change 2021
Trips by non-residents,1492214,5,1492214,1567317,5,1494480,6.8,2986694,3163024,5.9,1803565,-57.8,4790259,3923485,-18.1,2071471,-96.7,6861730,3990930,-41.8,2808944,-96.9,9670674,4077292,-57.8,3887483,-96.9,13558157,4198816,-69,4713420,-97,18271577,4340588,-76.2,4612427,-96.6,22884004,4499252,-80.3,3144439,-95.3,26028443,4647029,-82.1,2422569,-94.2,28451012,4786945,-83.2,1786974,-92.9,30237986,4914104,-83.7,2191785,-93,32429771,5068350,-84.4,1567317,120921,-92.3,1567317,120921,-92.3,1595707,101655,-93.6,3163024,222576,-93,760252,123583,-83.7,3923276,346159,-91.2,67654,130634,93.1,3990930,476793,-88.1,86362,140287,62.4,4077292,617080,-84.9,121524,162940,34.1,4198816,780020,-81.4,141772,258469,82.3,4340588,1038489,-76.1,158664,600982,278.8,4499252,1639471,-63.6,147777,671662,354.5,4647029,2311133,-50.3
United States Residents,1140166,5.4,1140166,1201690,5.4,1158358,10.6,2298524,2482990,8,1457330,-58.1,3755854,3094046,-17.6,1589192,-96.8,5345046,3144813,-41.2,2135005,-96.6,7480051,3216891,-57,2998407,-96.6,10478458,3318498,-68.3,3615631,-96.9,14094089,3431912,-75.6,3552265,-96.6,17646354,3552736,-79.9,2295325,-95.1,19941679,3665716,-81.6,1854059,-93.9,21795738,3778229,-82.7,1464188,-93.3,23259926,3876673,-83.3,1697726,-93.3,24957652,3990560,-84,1201690,86456,-92.8,1201690,86456,-92.8,1281300,75398,-94.1,2482990,161854,-93.5,610781,95943,-84.3,3093771,257797,-91.7,51042,95634,87.4,3144813,353431,-88.8,72078,113451,57.4,3216891,466882,-85.5,101607,128447,26.4,3318498,595329,-82.1,113414,194799,71.8,3431912,790128,-77,120824,509669,321.8,3552736,1299797,-63.4,112980,518223,358.7,3665716,1818020,-50.4
Automobile,806611,7.5,806611,867218,7.5,805902,15.7,1612513,1799488,11.6,1020931,-56.2,2633444,2246551,-14.7,1101722,-95.8,3735166,2293147,-38.6,1388131,-95.2,5123297,2359831,-53.9,1893736,-95.2,7017033,2451346,-65.1,2398407,-95.8,9415440,2551697,-72.9,2425518,-95.7,11840958,2656422,-77.6,1406559,-93,13247517,2755446,-79.2,1230244,-92,14477761,2853713,-80.3,1055140,-92.1,15532901,2937014,-81.1,1215682,-92.4,16748583,3029259,-81.9,867218,73890,-91.5,867218,73890,-91.5,932270,68340,-92.7,1799488,142230,-92.1,447063,90074,-79.9,2246551,232304,-89.7,46596,88798,90.6,2293147,321102,-86,66684,105291,57.9,2359831,426393,-81.9,91515,117143,28,2451346,543536,-77.8,100351,155157,54.6,2551697,698693,-72.6,104725,412186,293.6,2656422,1110879,-58.2,99024,393316,297.2,2755446,1504195,-45.4
Same Day,496829,5.2,496829,522752,5.2,459416,14.3,956245,1047875,9.6,580484,-53.2,1536729,1319504,-14.1,599670,-93.5,2136399,1358337,-36.4,703351,-92.5,2839750,1411411,-50.3,845491,-92.2,3685241,1477531,-59.9,979267,-92.9,4664508,1546921,-66.8,976838,-92.6,5641346,1619085,-71.3,730144,-90,6371490,1691879,-73.4,668570,-89.1,7040060,1764741,-74.9,604994,-89.8,7645054,1826436,-76.1,643004,-90.1,8288058,1889788,-77.2,522752,57399,-89,522752,57399,-89,525123,54403,-89.6,1047875,111802,-89.3,271629,69414,-74.4,1319504,181216,-86.3,38833,66724,71.8,1358337,247940,-81.7,53074,74806,40.9,1411411,322746,-77.1,66120,79555,20.3,1477531,402301,-72.8,69390,82220,18.5,1546921,484521,-68.7,72164,128133,77.6,1619085,612654,-62.2,72794,133724,83.7,1691879,746378,-55.9
One or more nights,309782,11.2,309782,344466,11.2,346486,17.5,656268,751613,14.5,440447,-60.2,1096715,927047,-15.5,502052,-98.5,1598767,934810,-41.5,684780,-98,2283547,948420,-58.5,1048245,-97.6,3331792,973815,-70.8,1419140,-97.8,4750932,1004776,-78.9,1448680,-97.8,6199612,1037337,-83.3,676415,-96.1,6876027,1063567,-84.5,561674,-95.5,7437701,1088972,-85.4,450146,-95.2,7887847,1110578,-85.9,572678,-95,8460525,1139471,-86.5,344466,16491,-95.2,344466,16491,-95.2,407147,13937,-96.6,751613,30428,-96,175434,20660,-88.2,927047,51088,-94.5,7763,22074,184.3,934810,73162,-92.2,13610,30485,124,948420,103647,-89.1,25395,37588,48,973815,141235,-85.5,30961,72937,135.6,1004776,214172,-78.7,32561,284053,772.4,1037337,498225,-52,26230,259592,889.7,1063567,757817,-28.7
Plane,281378,0.6,281378,283023,0.6,298744,-1.4,580122,577582,-0.4,366667,-62.2,946789,716349,-24.3,403386,-99.3,1350175,719067,-46.7,470254,-99.2,1820429,722777,-60.3,685288,-98.8,2505717,730788,-70.8,735103,-98.5,3240820,741816,-77.1,666738,-97.9,3907558,755825,-80.7,534797,-97.7,4442355,768121,-82.7,442252,-97.1,4884607,781049,-84,340349,-95.9,5224956,795161,-84.8,412596,-95,5637552,815904,-85.5,283023,11487,-95.9,283023,11487,-95.9,294559,6091,-97.9,577582,17578,-97,138668,4450,-96.8,716250,22028,-96.9,2817,5105,81.2,719067,27133,-96.2,3710,5625,51.6,722777,32758,-95.5,8011,8237,2.8,730788,40995,-94.4,11028,37113,236.5,741816,78108,-89.5,14009,90826,548.3,755825,168934,-77.6,12296,117621,856.6,768121,286555,-62.7
Bus,39128,-5,39128,37181,-5,39675,-4.7,78803,74996,-4.8,45108,-68.5,123911,89219,-28,46621,-99.5,170532,89310,-47.6,88131,-100,258663,89341,-65.5,114612,-99.5,373275,89965,-75.9,127855,-99.5,501130,90601,-81.9,123154,-99.3,624284,91451,-85.4,83126,-99,707410,92245,-87,59635,-99.1,767045,92780,-87.9,45135,-99.1,812180,93178,-88.5,41530,-99.2,853710,93493,-89,37181,460,-98.8,37181,460,-98.8,37815,428,-98.9,74996,888,-98.8,14099,745,-94.7,89095,1633,-98.2,215,893,315.3,89310,2526,-97.2,31,897,2793.5,89341,3423,-96.2,624,932,49.4,89965,4355,-95.2,636,416,-34.6,90601,4771,-94.7,850,858,0.9,91451,5629,-93.8,794,1874,136,92245,7503,-91.9
"Train, boat and other methods",13049,9.3,13049,14268,9.3,14037,18.7,27086,30924,14.2,24624,-55.3,51710,41927,-18.9,37463,-96.2,89173,43289,-51.5,188489,-99.1,277662,44942,-83.8,304771,-99.5,582433,46399,-92,354266,-99.6,936699,47798,-94.9,336855,-99.6,1273554,49038,-96.1,270843,-99.7,1544397,49904,-96.8,121928,-99.4,1666325,50687,-97,23564,-97.3,1689889,51320,-97,27918,-97.9,1717807,51904,-97,14268,619,-95.7,14268,619,-95.7,16656,539,-96.8,30924,1158,-96.3,10951,674,-93.8,41875,1832,-95.6,1414,838,-40.7,43289,2670,-93.8,1653,1638,-0.9,44942,4308,-90.4,1457,2135,46.5,46399,6443,-86.1,1399,2113,51,47798,8556,-82.1,1240,5799,367.7,49038,14355,-70.7,866,5412,524.9,49904,19767,-60.4
All other countries residents,352048,3.9,352048,365627,3.9,336122,-6.5,688170,680034,-1.2,346235,-56.8,1034405,829439,-19.8,482279,-96.6,1516684,846117,-44.2,673939,-97.9,2190623,860401,-60.7,889076,-97.8,3079699,880318,-71.4,1097789,-97.4,4177488,908676,-78.2,1060162,-96.4,5237650,946516,-81.9,849114,-95.9,6086764,981313,-83.9,568510,-95.2,6655274,1008716,-84.8,322786,-91.1,6978060,1037431,-85.1,494059,-91.8,7472119,1077790,-85.6,365627,34465,-90.6,365627,34465,-90.6,314407,26257,-91.6,680034,60722,-91.1,149471,27640,-81.5,829505,88362,-89.3,16612,35000,110.7,846117,123362,-85.4,14284,26836,87.9,860401,150198,-82.5,19917,34493,73.2,880318,184691,-79,28358,63670,124.5,908676,248361,-72.7,37840,91313,141.3,946516,339674,-64.1,34797,153439,341,981313,493113,-49.7
Direct,245163,6.7,245163,261498,6.7,243855,-4.9,489018,493372,0.9,240617,-56.9,729635,597188,-18.2,319152,-96.7,1048787,607897,-42,419043,-98,1467830,616163,-58,582097,-97.7,2049927,629597,-69.3,705115,-96.9,2755042,651397,-76.4,643668,-95.2,3398710,681986,-79.9,538902,-94.7,3937612,710373,-82,369145,-94.3,4306757,731519,-83,215005,-89.4,4521762,754312,-83.3,357992,-90.5,4879754,788167,-83.8,261498,29170,-88.8,261498,29170,-88.8,231874,21028,-90.9,493372,50198,-89.8,103873,22271,-78.6,597245,72469,-87.9,10652,29276,174.8,607897,101745,-83.3,8266,20422,147.1,616163,122167,-80.2,13434,26483,97.1,629597,148650,-76.4,21800,52578,141.2,651397,201228,-69.1,30589,77690,154,681986,278918,-59.1,28387,133438,370.1,710373,412356,-42
Via the United States4,106885,-2.6,106885,104129,-2.6,92267,-10.5,199152,186662,-6.3,105618,-56.8,304770,232251,-23.8,163127,-96.3,467897,238220,-49.1,254896,-97.6,722793,244238,-66.2,306979,-97.9,1029772,250721,-75.7,392674,-98.3,1422446,257279,-81.9,416494,-98.3,1838940,264530,-85.6,310212,-97.9,2149152,270940,-87.4,199365,-96.9,2348517,277197,-88.2,107781,-94.5,2456298,283119,-88.5,136067,-95.2,2592365,289623,-88.8,104129,5295,-94.9,104129,5295,-94.9,82533,5229,-93.7,186662,10524,-94.4,45598,5369,-88.2,232260,15893,-93.2,5960,5724,-4,238220,21617,-90.9,6018,6414,6.6,244238,28031,-88.5,6483,8010,23.6,250721,36041,-85.6,6558,11092,69.1,257279,47133,-81.7,7251,13623,87.9,264530,60756,-77,6410,20001,212,270940,80757,-70.2
Trips by residents of Canada3,4356374,1.7,4356374,4430895,1.7,4001703,7.2,8358077,8720606,4.3,5450366,-40.2,13808443,11977840,-13.3,4983182,-96.4,18791625,12159918,-35.3,4714952,-95.9,23506577,12355555,-47.4,4271769,-94.2,27778346,12602237,-54.6,5179202,-94.5,32957548,12889252,-60.9,5885884,-94.1,38843432,13234098,-65.9,4512688,-92.8,43356120,13558913,-68.7,4294765,-92.1,47650885,13900169,-70.8,4129734,-92.1,51780619,14226022,-72.5,4376787,-91.3,56157406,14605347,-74,4430895,425521,-90.4,4430895,425521,-90.4,4289711,295857,-93.1,8720606,721378,-91.7,3258227,305700,-90.6,11978833,1027078,-91.4,181085,338383,86.9,12159918,1365461,-88.8,195637,363228,85.7,12355555,1728689,-86,246682,372046,50.8,12602237,2100735,-83.3,287015,535100,86.4,12889252,2635835,-79.6,344846,847856,145.9,13234098,3483691,-73.7,324815,788341,142.7,13558913,4272032,-68.5
Returning from the United States,3035434,1.1,3035434,3069835,1.1,2836843,8.3,5872277,6142866,4.6,4004204,-44.1,9876481,8381291,-15.1,3816335,-96,13692816,8532172,-37.7,3743616,-95.5,17436432,8701488,-50.1,3491187,-94,20927619,8912312,-57.4,4310150,-94.6,25237769,9145984,-63.8,4766463,-94.7,30004232,9400242,-68.7,3634855,-93.1,33639087,9650641,-71.3,3504393,-92.3,37143480,9919634,-73.3,3286910,-92.3,40430390,10172241,-74.8,3383473,-92,43813863,10443310,-76.2,3069835,264999,-91.4,3069835,264999,-91.4,3073031,216261,-93,6142866,481260,-92.2,2237531,256854,-88.5,8380397,738114,-91.2,151775,283318,86.7,8532172,1021432,-88,169316,311849,84.2,8701488,1333281,-84.7,210824,310858,47.4,8912312,1644139,-81.6,233672,393797,68.5,9145984,2037936,-77.7,254258,506130,99.1,9400242,2544066,-72.9,250399,474741,89.6,9650641,3018807,-68.7
Automobile,2063363,0.1,2063363,2065642,0.1,1869144,11.3,3932507,4145633,5.4,2784103,-46.1,6716610,5645453,-15.9,2731040,-94.9,9447650,5783433,-38.8,2786491,-94.4,12234141,5940298,-51.4,2720577,-92.9,14954718,6132827,-59,3485774,-94.1,18440492,6338185,-65.6,3846307,-94.4,22286799,6553124,-70.6,2772407,-92.2,25059206,6769087,-73,2574795,-91.3,27634001,6994066,-74.7,2315884,-91.5,29949885,7190692,-76,2442218,-91.5,32392103,7397756,-77.2,2065642,190852,-90.8,2065642,190852,-90.8,2079991,182809,-91.2,4145633,373661,-91,1499820,234939,-84.3,5645453,608600,-89.2,137980,256058,85.6,5783433,864658,-85,156865,277305,76.8,5940298,1141963,-80.8,192529,276983,43.9,6132827,1418946,-76.9,205358,292950,42.7,6338185,1711896,-73,214939,328469,52.8,6553124,2040365,-68.9,215963,292857,35.6,6769087,2333222,-65.5
Same day,1435823,0.5,1435823,1443415,0.5,1359950,10.6,2795773,2948150,5.5,1812672,-55.6,4608445,3752719,-18.6,1798662,-94.1,6407107,3858212,-39.8,1914019,-92.9,8321126,3993672,-52,1867992,-91.1,10189118,4160466,-59.2,2097930,-91.6,12287048,4336813,-64.7,2190481,-91.7,14477529,4518963,-68.8,1804922,-89.5,16282451,4709337,-71.1,1788430,-89,18070881,4906274,-72.8,1658140,-89.8,19729021,5075860,-74.3,1732203,-89.8,21461224,5253081,-75.5,1443415,162621,-88.7,1443415,162621,-88.7,1504735,158894,-89.4,2948150,321515,-89.1,804569,200414,-75.1,3752719,521929,-86.1,105493,194550,84.4,3858212,716479,-81.4,135460,206896,52.7,3993672,923375,-76.9,166794,216022,29.5,4160466,1139397,-72.6,176347,219468,24.5,4336813,1358865,-68.7,182150,229752,26.1,4518963,1588617,-64.8,190374,226910,19.2,4709337,1815527,-61.4
One or more nights,627540,-0.8,627540,622227,-0.8,509194,13,1136734,1197483,5.3,971431,-28.4,2108165,1892734,-10.2,932378,-96.5,3040543,1925221,-36.7,872472,-97.5,3913015,1946626,-50.3,852585,-97,4765600,1972361,-58.6,1387844,-97.9,6153444,2001372,-67.5,1655826,-98,7809270,2034161,-74,967485,-97.4,8776755,2059750,-76.5,786365,-96.4,9563120,2087792,-78.2,657744,-95.9,10220864,2114832,-79.3,710015,-95.8,10930879,2144675,-80.4,622227,28231,-95.5,622227,28231,-95.5,575256,23915,-95.8,1197483,52146,-95.6,695251,34525,-95,1892734,86671,-95.4,32487,61508,89.3,1925221,148179,-92.3,21405,70409,228.9,1946626,218588,-88.8,25735,60961,136.9,1972361,279549,-85.8,29011,73482,153.3,2001372,353031,-82.4,32789,98717,201.1,2034161,451748,-77.8,25589,65947,157.7,2059750,517695,-74.9
Plane,904756,3.5,904756,936866,3.5,905637,2.5,1810393,1865488,3,1138388,-38.6,2948781,2564308,-13,985940,-98.9,3934721,2575588,-34.5,805734,-98.8,4740455,2585161,-45.5,638538,-97.5,5378993,2601324,-51.6,662300,-96.1,6041293,2627480,-56.5,739182,-95.1,6780475,2664024,-60.7,707125,-95.4,7487600,2696346,-64,815519,-94.8,8303119,2738568,-67,882499,-93.8,9185618,2793041,-69.6,853109,-92.7,10038727,2855504,-71.6,936866,72649,-92.2,936866,72649,-92.2,928622,32198,-96.5,1865488,104847,-94.4,699131,18870,-97.3,2564619,123717,-95.2,10969,23586,115,2575588,147303,-94.3,9573,28189,194.5,2585161,175492,-93.2,16163,25263,56.3,2601324,200755,-92.3,26156,93199,256.3,2627480,293954,-88.8,36544,170043,365.3,2664024,463997,-82.6,32322,175704,443.6,2696346,639701,-76.3
Bus,52338,2.2,52338,53488,2.2,48808,4.8,101146,104626,3.4,59791,-54.4,160937,131881,-18.1,73448,-99.1,234385,131457,-43.9,87416,-99.8,321801,131642,-59.1,67004,-99.8,388805,131776,-66.1,75829,-99.7,464634,132035,-71.6,84655,-99.6,549289,132395,-75.9,74017,-99.7,623306,132633,-78.7,80067,-99.6,703373,132982,-81.1,70243,-99.7,773616,133165,-82.8,70217,-99.5,843833,133518,-84.2,53488,157,-99.7,53488,157,-99.7,51138,291,-99.4,104626,448,-99.6,26193,709,-97.3,130819,1157,-99.1,638,894,40.1,131457,2051,-98.4,185,666,260,131642,2717,-97.9,134,377,181.3,131776,3094,-97.7,259,823,217.8,132035,3917,-97,360,904,151.1,132395,4821,-96.4,238,1362,472.3,132633,6183,-95.3
"Train, boat and other methods",14977,-7.6,14977,13839,-7.6,13254,0.2,28231,27119,-3.9,21922,-42.8,50153,39649,-20.9,25907,-91.6,76060,41694,-45.2,63975,-95.8,140035,44387,-68.3,65068,-96.9,205103,46385,-77.4,86247,-97.8,291350,48284,-83.4,96319,-97.5,387669,50699,-86.9,81306,-97.7,468975,52575,-88.8,34012,-95.8,502987,54018,-89.3,18284,-92.8,521271,55343,-89.4,17929,-93.4,539200,56532,-89.5,13839,1341,-90.3,13839,1341,-90.3,13280,963,-92.7,27119,2304,-91.5,12387,2336,-81.1,39506,4640,-88.3,2188,2780,27.1,41694,7420,-82.2,2693,5689,111.3,44387,13109,-70.5,1998,8235,312.2,46385,21344,-54,1899,6825,259.4,48284,28169,-41.7,2415,6714,178,50699,34883,-31.2,1876,4818,156.8,52575,39701,-24.5
Returning from other countries,1320940,3,1320940,1361060,3,1164860,4.4,2485800,2577740,3.7,1446162,-29.6,3931962,3596549,-8.5,1166847,-97.5,5098809,3627746,-28.9,971336,-97.3,6070145,3654067,-39.8,780582,-95.4,6850727,3689925,-46.1,869052,-93.9,7719779,3743268,-51.5,1119421,-91.9,8839200,3833856,-56.6,877833,-91.5,9717033,3908272,-59.8,790372,-90.9,10507405,3980535,-62.1,842824,-91.3,11350229,4053781,-64.3,993314,-89.1,12343543,4162037,-66.3,1361060,160522,-88.2,1361060,160522,-88.2,1216680,79596,-93.5,2577740,240118,-90.7,1020696,48846,-95.2,3598436,288964,-92,29310,55065,87.9,3627746,344029,-90.5,26321,51379,95.2,3654067,395408,-89.2,35858,61188,70.6,3689925,456596,-87.6,53343,141303,164.9,3743268,597899,-84,90588,341726,277.2,3833856,939625,-75.5,74416,313600,321.4,3908272,1253225,-67.9
Direct,1217950,4.4,1217950,1271242,4.4,1083765,4.9,2301715,2407897,4.6,1338359,-30.1,3640074,3343647,-8.1,1088243,-97.6,4728317,3371476,-28.7,894957,-97.3,5623274,3395881,-39.6,734410,-95.5,6357684,3429159,-46.1,824075,-93.9,7181759,3479240,-51.6,1044081,-91.7,8225840,3566357,-56.6,821701,-91.2,9047541,3638489,-59.8,745699,-90.8,9793240,3707388,-62.1,789229,-91.1,10582469,3777568,-64.3,937676,-89,11520145,3880469,-66.3,1271242,152093,-88,1271242,152093,-88,1136655,72026,-93.7,2407897,224119,-90.7,937516,43884,-95.3,3345413,268003,-92,26063,48815,87.3,3371476,316818,-90.6,24405,44123,80.8,3395881,360941,-89.4,33278,55417,66.5,3429159,416358,-87.9,50081,133625,166.8,3479240,549983,-84.2,87117,326561,274.9,3566357,876544,-75.4,72132,299638,315.4,3638489,1176182,-67.7
Via the United States,102990,-12.8,102990,89818,-12.8,81095,-1.3,184085,169843,-7.7,107803,-23,291888,252902,-13.4,78604,-95.9,370492,256270,-30.8,76379,-97.5,446871,258186,-42.2,46172,-94.4,493043,260766,-47.1,44977,-92.7,538020,264028,-50.9,75340,-95.4,613360,267499,-56.4,56132,-95.9,669492,269783,-59.7,44673,-92.5,714165,273147,-61.8,53595,-94.3,767760,276213,-64,55638,-90.4,823398,281568,-65.8,89818,8429,-90.6,89818,8429,-90.6,80025,7570,-90.5,169843,15999,-90.6,83180,4962,-94,253023,20961,-91.7,3247,6250,92.5,256270,27211,-89.4,1916,7256,278.7,258186,34467,-86.7,2580,5771,123.7,260766,40238,-84.6,3262,7678,135.4,264028,47916,-81.9,3471,15165,336.9,267499,63081,-76.4,2284,13962,511.3,269783,77043,-71.4
Total3,5848588,2.6,5848588,5998212,2.6,5496183,7.1,11344771,11883630,4.7,7253931,-44.6,18598702,15901325,-14.5,7054653,-96.5,25653355,16150848,-37,7523896,-96.3,33177251,16432847,-50.5,8159252,-95.5,41336503,16801053,-59.4,9892622,-95.7,51229125,17229840,-66.4,10498311,-95.2,61727436,17733350,-71.3,7657127,-93.8,69384563,18205942,-73.8,6717334,-92.8,76101897,18687114,-75.4,5916708,-92.3,82018605,19140126,-76.7,6568572,-91.9,88587177,19673697,-77.8,5998212,546442,-90.9,5998212,546442,-90.9,5885418,397512,-93.2,11883630,943954,-92.1,4018479,429283,-89.3,15902109,1373237,-91.4,248739,469017,88.6,16150848,1842254,-88.6,281999,503515,78.6,16432847,2345769,-85.7,368206,534986,45.3,16801053,2880755,-82.9,428787,793569,85.1,17229840,3674324,-78.7,503510,1448838,187.7,17733350,5123162,-71.1,472592,1460003,208.9,18205942,6583165,-63.8
