Method of Travel,Jan 2020,Jan 2021,Jan % change,Jan~Jan 2020, Jan~Jan 2021, Jan~Jan % change
Trips by non-residents,1567317,120921,-92.3,1567317,120921,-92.3
United States Residents,1201690,86456,-92.8,1201690,86456,-92.8
Automobile,867218,73890,-91.5,867218,73890,-91.5
Same Day,522752,57399,-89.0,522752,57399,-89.0
One or more nights,344466,16491,-95.2,344466,16491,-95.2
Plane,283023,11487,-95.9,283023,11487,-95.9
Bus,37181,460,-98.8,37181,460,-98.8
"Train, boat and other methods",14268,619,-95.7,14268,619,-95.7
All other countries residents,365627,34465,-90.6,365627,34465,-90.6
Direct,261498,29170,-88.8,261498,29170,-88.8
Via the United States2,104129,5295,-94.9,104129,5295,-94.9
Trips by residents of Canada,4430895,425521,-90.4,4430895,425521,-90.4
Returning from the United States,3069835,264999,-91.4,3069835,264999,-91.4
Automobile,2065642,190852,-90.8,2065642,190852,-90.8
Same day,1443415,162621,-88.7,1443415,162621,-88.7
One or more nights,622227,28231,-95.5,622227,28231,-95.5
Plane,936866,72649,-92.2,936866,72649,-92.2
Bus,53488,157,-99.7,53488,157,-99.7
"Train, boat and other methods",13839,1341,-90.3,13839,1341,-90.3
Returning from other countries,1361060,160522,-88.2,1361060,160522,-88.2
Direct,1271242,152093,-88.0,1271242,152093,-88.0
Via the United States,89818,8429,-90.6,89818,8429,-90.6
Total,5998212,546442,-90.9,5998212,546442,-90.9